frame,pts_time,size,type
frame,0.000000,33751,I
frame,0.041667,387,B
frame,0.083333,736,B
frame,0.125000,447,B
frame,0.166667,2214,P
frame,0.208333,418,B
frame,0.250000,740,B
frame,0.291667,378,B
frame,0.333333,2539,P
frame,0.375000,371,B
frame,0.416667,705,B
frame,0.458333,301,B
frame,0.500000,2314,P
frame,0.541667,399,B
frame,0.583333,589,B
frame,0.625000,275,B
frame,0.666667,2790,P
frame,0.708333,529,B
frame,0.750000,666,B
frame,0.791667,205,B
frame,0.833333,4989,P
frame,0.875000,774,B
frame,0.916667,1034,B
frame,0.958333,578,B
frame,1.000000,2836,P
frame,1.041667,1201,B
frame,1.083333,2682,B
frame,1.125000,1702,B
frame,1.166667,6904,P
frame,1.208333,4897,B
frame,1.250000,8882,P
frame,1.291667,6450,B
frame,1.333333,14284,P
frame,1.375000,8323,P
frame,1.416667,7312,P
frame,1.458333,7734,P
frame,1.500000,3015,B
frame,1.541667,7244,P
frame,1.583333,1499,B
frame,1.625000,1226,B
frame,1.666667,536,B
frame,1.708333,6026,P
frame,1.750000,72,B
frame,1.791667,394,B
frame,1.833333,70,B
frame,1.875000,687,P
frame,1.916667,132,B
frame,1.958333,67,B
frame,2.000000,353,P
frame,2.041667,74732,I
frame,2.083333,892,B
frame,2.125000,1453,B
frame,2.166667,904,B
frame,2.208333,4720,P
frame,2.250000,1503,B
frame,2.291667,2182,B
frame,2.333333,1371,B
frame,2.375000,5711,P
frame,2.416667,1620,B
frame,2.458333,2411,B
frame,2.500000,1613,B
frame,2.541667,6436,P
frame,2.583333,1871,B
frame,2.625000,2648,B
frame,2.666667,1854,B
frame,2.708333,7325,P
frame,2.750000,1947,B
frame,2.791667,2662,B
frame,2.833333,1883,B
frame,2.875000,7471,P
frame,2.916667,1995,B
frame,2.958333,2387,B
frame,3.000000,1702,B
frame,3.041667,6100,P
frame,3.083333,1850,B
frame,3.125000,1776,B
frame,3.166667,1407,B
frame,3.208333,6225,P
frame,3.250000,1807,B
frame,3.291667,2280,B
frame,3.333333,1617,B
frame,3.375000,2997,P
frame,3.416667,1556,B
frame,3.458333,1981,P
frame,3.500000,72265,I
frame,3.541667,2386,B
frame,3.583333,4228,B
frame,3.625000,2661,B
frame,3.666667,6698,P
frame,3.708333,2467,B
frame,3.750000,3712,B
frame,3.791667,2286,B
frame,3.833333,7784,P
frame,3.875000,2693,B
frame,3.916667,3782,B
frame,3.958333,2716,B
frame,4.000000,8278,P
frame,4.041667,3376,B
frame,4.083333,3197,B
frame,4.125000,7628,P
frame,4.166667,3270,B
frame,4.208333,4290,B
frame,4.250000,3024,B
frame,4.291667,8198,P
frame,4.333333,6482,P
frame,4.375000,3566,B
frame,4.416667,9052,P
frame,4.458333,2885,B
frame,4.500000,3472,B
frame,4.541667,2563,B
frame,4.583333,8098,P
frame,4.625000,2231,B
frame,4.666667,2674,B
frame,4.708333,1264,B
frame,4.750000,8378,P
frame,4.791667,947,B
frame,4.833333,1461,B
frame,4.875000,597,B
frame,4.916667,5719,P
frame,4.958333,599,B
frame,5.000000,1368,B
frame,5.041667,636,B
frame,5.083333,4959,P
frame,5.125000,1468,B
frame,5.166667,2416,B
frame,5.208333,1561,B
frame,5.250000,7103,P
frame,5.291667,1338,B
frame,5.333333,1315,B
frame,5.375000,548,B
frame,5.416667,6919,P
frame,5.458333,479,B
frame,5.500000,914,B
frame,5.541667,320,B
frame,5.583333,6557,P
frame,5.625000,570,B
frame,5.666667,982,B
frame,5.708333,374,B
frame,5.750000,6744,P
frame,5.791667,542,B
frame,5.833333,1060,B
frame,5.875000,516,B
frame,5.916667,4843,P
frame,5.958333,549,B
frame,6.000000,1247,B
frame,6.041667,577,B
frame,6.083333,6029,P
frame,6.125000,1356,B
frame,6.166667,2791,B
frame,6.208333,1971,B
frame,6.250000,8285,P
frame,6.291667,2809,B
frame,6.333333,4623,B
frame,6.375000,3933,B
frame,6.416667,10674,P
frame,6.458333,2373,B
frame,6.500000,2849,B
frame,6.541667,1179,B
frame,6.583333,12358,P
frame,6.625000,1084,B
frame,6.666667,1974,B
frame,6.708333,820,B
frame,6.750000,8456,P
frame,6.791667,745,B
frame,6.833333,1269,B
frame,6.875000,639,B
frame,6.916667,6525,P
frame,6.958333,545,B
frame,7.000000,956,B
frame,7.041667,514,B
frame,7.083333,3672,P
frame,7.125000,535,B
frame,7.166667,1015,B
frame,7.208333,406,B
frame,7.250000,6283,P
frame,7.291667,658,B
frame,7.333333,1602,B
frame,7.375000,1670,B
frame,7.416667,7567,P
frame,7.458333,3572,B
frame,7.500000,4412,B
frame,7.541667,2637,B
frame,7.583333,11066,P
frame,7.625000,1476,B
frame,7.666667,2772,B
frame,7.708333,1314,B
frame,7.750000,9461,P
frame,7.791667,1605,B
frame,7.833333,3569,B
frame,7.875000,3537,B
frame,7.916667,10002,P
frame,7.958333,3952,B
frame,8.000000,5789,B
frame,8.041667,4062,B
frame,8.083333,11564,P
frame,8.125000,5021,B
frame,8.166667,6359,B
frame,8.208333,4334,B
frame,8.250000,11753,P
frame,8.291667,4169,B
frame,8.333333,5299,B
frame,8.375000,3235,B
frame,8.416667,11611,P
frame,8.458333,2503,B
frame,8.500000,2977,B
frame,8.541667,1535,B
frame,8.583333,9291,P
frame,8.625000,735,B
frame,8.666667,1531,B
frame,8.708333,660,B
frame,8.750000,5132,P
frame,8.791667,729,B
frame,8.833333,1482,B
frame,8.875000,607,B
frame,8.916667,5746,P
frame,8.958333,714,B
frame,9.000000,1597,B
frame,9.041667,671,B
frame,9.083333,6737,P
frame,9.125000,842,B
frame,9.166667,1425,B
frame,9.208333,621,B
frame,9.250000,7181,P
frame,9.291667,1243,B
frame,9.333333,3029,B
frame,9.375000,1887,B
frame,9.416667,9977,P
frame,9.458333,2784,B
frame,9.500000,4335,B
frame,9.541667,2127,B
frame,9.583333,12304,P
frame,9.625000,1373,B
frame,9.666667,1555,B
frame,9.708333,756,B
frame,9.750000,10594,P
frame,9.791667,801,B
frame,9.833333,1286,B
frame,9.875000,612,B
frame,9.916667,8184,P
frame,9.958333,673,B
frame,10.000000,1105,B
frame,10.041667,589,B
frame,10.083333,5319,P
frame,10.125000,645,B
frame,10.166667,1074,B
frame,10.208333,550,B
frame,10.250000,4705,P
frame,10.291667,798,B
frame,10.333333,1433,B
frame,10.375000,710,B
frame,10.416667,6031,P
frame,10.458333,1121,B
frame,10.500000,1743,B
frame,10.541667,940,B
frame,10.583333,6542,P
frame,10.625000,1185,B
frame,10.666667,898,B
frame,10.708333,2975,P
frame,10.750000,21429,I
frame,10.791667,319,B
frame,10.833333,453,B
frame,10.875000,237,B
frame,10.916667,2274,P
frame,10.958333,417,B
frame,11.000000,638,B
frame,11.041667,319,B
frame,11.083333,2894,P
frame,11.125000,444,B
frame,11.166667,776,B
frame,11.208333,579,B
frame,11.250000,5544,P
frame,11.291667,8892,P
frame,11.333333,10487,P
frame,11.375000,10397,P
frame,11.416667,4135,B
frame,11.458333,2395,B
frame,11.500000,1421,B
frame,11.541667,15840,P
frame,11.583333,1107,B
frame,11.625000,1392,B
frame,11.666667,1062,B
frame,11.708333,5284,P
frame,11.750000,1447,B
frame,11.791667,1863,B
frame,11.833333,1400,B
frame,11.875000,3830,P
frame,11.916667,923,B
frame,11.958333,1103,P
frame,12.000000,18228,I
frame,12.041667,2640,B
frame,12.083333,4338,B
frame,12.125000,2767,B
frame,12.166667,8625,P
frame,12.208333,2915,B
frame,12.250000,5355,B
frame,12.291667,3735,B
frame,12.333333,9390,P
frame,12.375000,3075,B
frame,12.416667,5175,B
frame,12.458333,2766,B
frame,12.500000,9445,P
frame,12.541667,2933,B
frame,12.583333,4321,B
frame,12.625000,2557,B
frame,12.666667,10329,P
frame,12.708333,2475,B
frame,12.750000,3460,B
frame,12.791667,2070,B
frame,12.833333,9280,P
frame,12.875000,1651,B
frame,12.916667,3292,B
frame,12.958333,2114,B
frame,13.000000,7457,P
frame,13.041667,8399,P
frame,13.083333,5799,B
frame,13.125000,8377,P
frame,13.166667,3009,B
frame,13.208333,4133,B
frame,13.250000,1901,B
frame,13.291667,7466,P
frame,13.333333,2360,B
frame,13.375000,3636,B
frame,13.416667,2165,B
frame,13.458333,8232,P
frame,13.500000,2252,B
frame,13.541667,3552,B
frame,13.583333,1797,B
frame,13.625000,7428,P
frame,13.666667,65815,I
frame,13.708333,254,B
frame,13.750000,451,B
frame,13.791667,567,B
frame,13.833333,2442,P
frame,13.875000,914,B
frame,13.916667,1657,B
frame,13.958333,889,B
frame,14.000000,4792,P
