frame,pts_time,size,type
frame,0.000000,67141,I
frame,0.041667,2626,B
frame,0.083333,3886,B
frame,0.125000,1878,B
frame,0.166667,14351,P
frame,0.208333,2481,B
frame,0.250000,3263,B
frame,0.291667,1973,B
frame,0.333333,11405,P
frame,0.375000,2253,B
frame,0.416667,3302,B
frame,0.458333,1843,B
frame,0.500000,11565,P
frame,0.541667,1377,B
frame,0.583333,1882,B
frame,0.625000,998,B
frame,0.666667,2711,P
frame,0.708333,934,B
frame,0.750000,1443,B
frame,0.791667,941,B
frame,0.833333,5633,P
frame,0.875000,1266,B
frame,0.916667,1981,B
frame,0.958333,1239,B
frame,1.000000,11536,P
frame,1.041667,1396,B
frame,1.083333,2277,B
frame,1.125000,1211,B
frame,1.166667,16799,P
frame,1.208333,1644,B
frame,1.250000,2635,B
frame,1.291667,1657,B
frame,1.333333,19003,P
frame,1.375000,1958,B
frame,1.416667,3752,B
frame,1.458333,2442,B
frame,1.500000,15927,P
frame,1.541667,3908,B
frame,1.583333,6500,B
frame,1.625000,3633,B
frame,1.666667,25084,P
frame,1.708333,3571,B
frame,1.750000,4588,B
frame,1.791667,2564,B
frame,1.833333,18468,P
frame,1.875000,3021,B
frame,1.916667,5586,B
frame,1.958333,3452,B
frame,2.000000,15440,P
frame,2.041667,4355,B
frame,2.083333,6687,B
frame,2.125000,3523,B
frame,2.166667,28037,P
frame,2.208333,3068,B
frame,2.250000,4416,B
frame,2.291667,2293,B
frame,2.333333,22302,P
frame,2.375000,2647,B
frame,2.416667,3643,B
frame,2.458333,1997,B
frame,2.500000,19104,P
frame,2.541667,2471,B
frame,2.583333,3629,B
frame,2.625000,2009,B
frame,2.666667,14055,P
frame,2.708333,2532,B
frame,2.750000,3549,B
frame,2.791667,2232,B
frame,2.833333,14099,P
frame,2.875000,2742,B
frame,2.916667,4387,B
frame,2.958333,2592,B
frame,3.000000,15969,P
frame,3.041667,3127,B
frame,3.083333,5419,B
frame,3.125000,2963,B
frame,3.166667,16570,P
frame,3.208333,2984,B
frame,3.250000,6507,B
frame,3.291667,4012,B
frame,3.333333,16294,P
frame,3.375000,3987,B
frame,3.416667,8335,B
frame,3.458333,4310,B
frame,3.500000,20012,P
frame,3.541667,4694,B
frame,3.583333,8509,B
frame,3.625000,4232,B
frame,3.666667,23965,P
frame,3.708333,5284,B
frame,3.750000,7575,B
frame,3.791667,3863,B
frame,3.833333,23840,P
frame,3.875000,2680,B
frame,3.916667,4923,B
frame,3.958333,2602,B
frame,4.000000,19017,P
frame,4.041667,2085,B
frame,4.083333,3456,B
frame,4.125000,2029,B
frame,4.166667,11730,P
frame,4.208333,2424,B
frame,4.250000,4144,B
frame,4.291667,2296,B
frame,4.333333,15922,P
frame,4.375000,3179,B
frame,4.416667,4742,B
frame,4.458333,2471,B
frame,4.500000,20262,P
frame,4.541667,2773,B
frame,4.583333,3778,B
frame,4.625000,2284,B
frame,4.666667,16647,P
frame,4.708333,2539,B
frame,4.750000,3732,B
frame,4.791667,2020,B
frame,4.833333,16843,P
frame,4.875000,2436,B
frame,4.916667,3646,B
frame,4.958333,2090,B
frame,5.000000,17744,P
frame,5.041667,2376,B
frame,5.083333,3382,B
frame,5.125000,1978,B
frame,5.166667,15946,P
frame,5.208333,2133,B
frame,5.250000,3010,B
frame,5.291667,1851,B
frame,5.333333,13477,P
frame,5.375000,2128,B
frame,5.416667,3612,B
frame,5.458333,2104,B
frame,5.500000,13643,P
frame,5.541667,2694,B
