format,filename,bitrate,major_brand,minor_version,compatible_brands,encoder
format,videos/BigBuckBunny120-abrVbv-7500K.mp4,7072055,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-abrVbv-750K.mp4,688847,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-17.mp4,4768058,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-23.mp4,2281288,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-29.mp4,1130665,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crf-35.mp4,580096,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_1500K.mp4,1495164,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_3000K.mp4,2973648,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_7500K.mp4,4672362,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-17_750K.mp4,753322,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-23_1500K.mp4,1486100,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-23_3000K.mp4,2201892,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-23_7500K.mp4,2257803,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-23_750K.mp4,750050,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-29_1500K.mp4,1088632,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-29_3000K.mp4,1109480,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-29_7500K.mp4,1130684,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-29_750K.mp4,749025,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-35_1500K.mp4,573398,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-35_3000K.mp4,580114,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-35_7500K.mp4,580114,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-crfVbv-35_750K.mp4,562021,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-qp-17.mp4,5059167,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-qp-23.mp4,2434675,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-qp-29.mp4,1203378,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny120-qp-35.mp4,625117,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2pass-1500K.mp4,1499042,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2pass-3000K.mp4,2979467,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2pass-7500K.mp4,7416720,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2pass-750K.mp4,759273,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2passVbv-1500K.mp4,1500179,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2passVbv-3000K.mp4,2994925,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2passVbv-7500K.mp4,7453711,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-2passVbv-750K.mp4,750669,isom,512,isomiso2avc1mp41,Lavf57.66.103
